Year,Type of Occupation,Value
2000,Medical doctors,41.35
2001,Medical doctors,41.64
2002,Medical doctors,42.75
2003,Medical doctors,43.57
2004,Medical doctors,43.23
2005,Medical doctors,43.33
2006,Medical doctors,43.18
2007,Medical doctors,43.10
2008,Medical doctors,42.98
2009,Medical doctors,42.33
2010,Medical doctors,41.94
2011,Medical doctors,41.01
2012,Medical doctors,35.73
2013,Medical doctors,36.29
2014,Medical doctors,36.63
2015,Medical doctors,43.76
2016,Medical doctors,38.85
2017,Medical doctors,45.07
2018,Medical doctors,45.26
2019,Medical doctors,44.93
2020,Medical doctors,49.40
2021,Medical doctors,49.95
2022,Medical doctors,50.37
2000,Nursing and midwifery personnel,87.55
2001,Nursing and midwifery personnel,89.78
2002,Nursing and midwifery personnel,88.98
2003,Nursing and midwifery personnel,93.25
2004,Nursing and midwifery personnel,94.61
2005,Nursing and midwifery personnel,94.63
2006,Nursing and midwifery personnel,93.60
2007,Nursing and midwifery personnel,96.66
2008,Nursing and midwifery personnel,94.43
2009,Nursing and midwifery personnel,91.93
2010,Nursing and midwifery personnel,91.40
2011,Nursing and midwifery personnel,95.56
2012,Nursing and midwifery personnel,99.04
2013,Nursing and midwifery personnel,102.19
2014,Nursing and midwifery personnel,101.39
2015,Nursing and midwifery personnel,102.25
2016,Nursing and midwifery personnel,90.40
2017,Nursing and midwifery personnel,96.20
2018,Nursing and midwifery personnel,98.72
2019,Nursing and midwifery personnel,104.90
2020,Nursing and midwifery personnel,106.77
2021,Nursing and midwifery personnel,106.78
2022,Nursing and midwifery personnel,106.82
2000,Pharmacists,10.54
2001,Pharmacists,10.87
2002,Pharmacists,11.69
2003,Pharmacists,11.72
2004,Pharmacists,11.94
2005,Pharmacists,12.09
2006,Pharmacists,12.24
2007,Pharmacists,12.45
2008,Pharmacists,17.56
2009,Pharmacists,17.57
2010,Pharmacists,18.01
2011,Pharmacists,18.72
2012,Pharmacists,17.52
2013,Pharmacists,12.37
2014,Pharmacists,12.59
2015,Pharmacists,12.73
2016,Pharmacists,12.51
2017,Pharmacists,12.65
2018,Pharmacists,12.86
2019,Pharmacists,12.66
2020,Pharmacists,13.18
2021,Pharmacists,13.15
2022,Pharmacists,13.05
2000,Dentists,10.14
2001,Dentists,10.06
2002,Dentists,10.05
2003,Dentists,9.98
2004,Dentists,9.88
2005,Dentists,9.84
2006,Dentists,9.54
2007,Dentists,9.56
2008,Dentists,9.54
2009,Dentists,9.21
2010,Dentists,9.41
2011,Dentists,8.89
2012,Dentists,8.45
2013,Dentists,8.45
2014,Dentists,8.41
2015,Dentists,8.45
2016,Dentists,8.36
2017,Dentists,8.25
2018,Dentists,8.29
2019,Dentists,7.98
2020,Dentists,7.96
2021,Dentists,7.97
2022,Dentists,8.00